Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure,Type of Rate,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure Notes,Number of Neonatal Hospital Stays with Withdrawal Symptoms or Maternal Substance Exposure Description,Total Number of Birth Hospitalizations,Total Number of Birth Hospitalizations Notes,Total Number of Birth Hospitalizations Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Latitude/Longitude
County,Lycoming,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,18.43,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",22,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1194,,Live births in hospitals,41,41,42,081,"(41.3445979226, -77.069424568)",POINT (-77.069424568 41.3445979226)
County,Indiana,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),164,,Live births in hospitals,32,32,42,063,"(40.6529549748, -79.0933349286)",POINT (-79.0933349286 40.6529549748)
State,Commonwealth,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,27.17,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",941,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),34633,,Live births in hospitals,0,00,42,000,"(39.346129, -75.167756)",POINT (-75.167756 39.346129)
County,Adams,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),188,,Live births in hospitals,1,01,42,001,"(39.8720956503, -77.2222427076)",POINT (-77.2222427076 39.8720956503)
County,Tioga,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),74,,Live births in hospitals,59,59,42,117,"(41.7733383358, -77.2578807579)",POINT (-77.2578807579 41.7733383358)
County,Columbia,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),152,,Live births in hospitals,19,19,42,037,"(41.0491208559, -76.4100217975)",POINT (-76.4100217975 41.0491208559)
County,Venango,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),125,,Live births in hospitals,61,61,42,121,"(41.4034125863, -79.7628656104)",POINT (-79.7628656104 41.4034125863)
County,Franklin,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,38.22,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",12,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),314,,Live births in hospitals,28,28,42,055,"(39.9278619704, -77.7239884483)",POINT (-77.7239884483 39.9278619704)
County,Wayne,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),87,,Live births in hospitals,64,64,42,127,"(41.6496980525, -75.3051535022)",POINT (-75.3051535022 41.6496980525)
County,Franklin,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,36.31,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",13,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),358,,Live births in hospitals,28,28,42,055,"(39.9278619704, -77.7239884483)",POINT (-77.7239884483 39.9278619704)
County,Lehigh,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,13.18,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",13,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),986,,Live births in hospitals,39,39,42,077,"(40.6146479416, -75.6009948118)",POINT (-75.6009948118 40.6146479416)
County,Wayne,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),84,,Live births in hospitals,64,64,42,127,"(41.6496980525, -75.3051535022)",POINT (-75.3051535022 41.6496980525)
County,Lancaster,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,17.96,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",107,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),5959,,Live births in hospitals,36,36,42,071,"(40.0459079619, -76.2513876838)",POINT (-76.2513876838 40.0459079619)
County,Carbon,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),166,,Live births in hospitals,13,13,42,025,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081)
County,Somerset,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),173,,Live births in hospitals,56,56,42,111,"(39.9714629901, -79.0310020611)",POINT (-79.0310020611 39.9714629901)
County,Lancaster,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,17.87,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",25,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1399,,Live births in hospitals,36,36,42,071,"(40.0459079619, -76.2513876838)",POINT (-76.2513876838 40.0459079619)
County,Northampton,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,17.68,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",53,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),2998,,Live births in hospitals,48,48,42,095,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404)
County,Luzerne,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,24.75,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",20,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),808,,Live births in hospitals,40,40,42,079,"(41.1783643884, -75.991996098)",POINT (-75.991996098 41.178364388400006)
County,Potter,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),125,,Live births in hospitals,53,53,42,105,"(41.7442064382, -77.8987922939)",POINT (-77.8987922939 41.7442064382)
County,Fulton,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),32,,Live births in hospitals,29,29,42,057,"(39.9248751086, -78.1148504535)",POINT (-78.1148504535 39.9248751086)
County,Susquehanna,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),81,,Live births in hospitals,58,58,42,115,"(41.8205685982, -75.8025030296)",POINT (-75.8025030296 41.8205685982)
County,Montour,All,<1 month,2017,2017 Q1,1/1/2017-3/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),41,,Live births in hospitals,47,47,42,093,"(41.0280182438, -76.6647052668)",POINT (-76.6647052668 41.0280182438)
County,Beaver,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,22.64,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",34,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1502,,Live births in hospitals,4,04,42,007,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548)
County,Washington,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,31.15,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",61,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1958,,Live births in hospitals,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345)
County,Wyoming,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),55,,Live births in hospitals,66,66,42,131,"(41.5189248803, -76.0181300338)",POINT (-76.0181300338 41.5189248803)
County,Jefferson,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),100,,Live births in hospitals,33,33,42,065,"(41.1313909115, -79.0010181419)",POINT (-79.0010181419 41.1313909115)
County,Cambria,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,79.14,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",11,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),139,,Live births in hospitals,11,11,42,021,"(40.4912749067, -78.7189417385)",POINT (-78.7189417385 40.4912749067)
County,Montgomery,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,14.99,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",30,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),2002,,Live births in hospitals,46,46,42,091,"(40.209898739, -75.3725200072)",POINT (-75.3725200072 40.209898739)
County,McKean,All,<1 month,2017,2017 Q1,1/1/2017-3/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),85,,Live births in hospitals,42,42,42,083,"(41.810370736, -78.5712201998)",POINT (-78.57122019980001 41.810370736)
County,Elk,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,65.36,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",20,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),306,,Live births in hospitals,24,24,42,047,"(41.4281941606, -78.6494771322)",POINT (-78.6494771322 41.4281941606)
County,Washington,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),513,,Live births in hospitals,63,63,42,125,"(40.1910966345, -80.2518008276)",POINT (-80.2518008276 40.1910966345)
County,Adams,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),245,,Live births in hospitals,1,01,42,001,"(39.8720956503, -77.2222427076)",POINT (-77.2222427076 39.8720956503)
County,Clearfield,All,<1 month,2016,2016 Annual,1/1/2016-12/31/2016,46.24,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",32,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),692,,Live births in hospitals,17,17,42,033,"(41.0004290024, -78.4755834299)",POINT (-78.4755834299 41.0004290024)
County,Centre,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),284,,Live births in hospitals,14,14,42,027,"(40.9193135008, -77.8250011212)",POINT (-77.8250011212 40.9193135008)
County,Adams,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),197,,Live births in hospitals,1,01,42,001,"(39.8720956503, -77.2222427076)",POINT (-77.2222427076 39.8720956503)
County,Snyder,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),82,,Live births in hospitals,55,55,42,109,"(40.7711373692, -77.0725596804)",POINT (-77.0725596804 40.7711373692)
County,Luzerne,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,22.79,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",16,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),702,,Live births in hospitals,40,40,42,079,"(41.1783643884, -75.991996098)",POINT (-75.991996098 41.178364388400006)
County,Carbon,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),154,,Live births in hospitals,13,13,42,025,"(40.9193670081, -75.7110703866)",POINT (-75.7110703866 40.9193670081)
County,Clarion,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),100,,Live births in hospitals,16,16,42,031,"(41.1927912877, -79.4248360769)",POINT (-79.4248360769 41.1927912877)
County,Bucks,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,22.58,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",24,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1063,,Live births in hospitals,9,09,42,017,"(40.335011331, -75.1129124111)",POINT (-75.1129124111 40.335011331)
County,Fulton,All,<1 month,2016,2016 Q4,10/1/2016-12/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),22,,Live births in hospitals,29,29,42,057,"(39.9248751086, -78.1148504535)",POINT (-78.1148504535 39.9248751086)
County,Bradford,All,<1 month,2016,2016 Q2,4/1/2016-6/30/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),122,,Live births in hospitals,8,08,42,015,"(41.7911781401, -76.5182562384)",POINT (-76.5182562384 41.7911781401)
County,Cumberland,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,12.74,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",31,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),2433,,Live births in hospitals,21,21,42,041,"(40.167598388, -77.268662705)",POINT (-77.268662705 40.167598388)
County,Erie,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,22.46,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",17,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),757,,Live births in hospitals,25,25,42,049,"(41.9941378702, -80.0407591036)",POINT (-80.0407591036 41.9941378702)
County,Jefferson,All,<1 month,2016,2016 Q1,1/1/2016-3/31/2016,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),94,,Live births in hospitals,33,33,42,065,"(41.1313909115, -79.0010181419)",POINT (-79.0010181419 41.1313909115)
County,Fayette,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,67.40,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",80,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1187,,Live births in hospitals,26,26,42,051,"(39.919447803, -79.6518963464)",POINT (-79.6518963464 39.919447803)
County,Philadelphia,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,27.22,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",124,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),4556,,Live births in hospitals,51,51,42,101,"(40.0044435384, -75.140236002)",POINT (-75.140236002 40.0044435384)
State,Commonwealth,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,25.06,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",848,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),33841,,Live births in hospitals,0,00,42,000,"(39.346129, -75.167756)",POINT (-75.167756 39.346129)
County,Mercer,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,55.61,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",54,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),971,,Live births in hospitals,43,43,42,085,"(41.302377765, -80.2600941079)",POINT (-80.26009410790002 41.302377765)
County,Beaver,All,<1 month,2017,2017 Q2,4/1/2017-6/30/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),370,,Live births in hospitals,4,04,42,007,"(40.6834924548, -80.3510735648)",POINT (-80.3510735648 40.6834924548)
County,Forest,All,<1 month,2017,2017 Q4,10/1/2017-12/31/2017,,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),4,Not displayed when total number of birth hospitalizations is less than 11,Live births in hospitals,27,27,42,053,"(41.5135787577, -79.2378099483)",POINT (-79.2378099483 41.5135787577)
County,Crawford,All,<1 month,2016,2016 Q3,7/1/2016-9/30/2016,70.35,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",14,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),199,,Live births in hospitals,20,20,42,039,"(41.6854690692, -80.1132108295)",POINT (-80.1132108295 41.6854690692)
County,Lehigh,All,<1 month,2017,2017 Q3,7/1/2017-9/30/2017,18.34,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",19,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),1036,,Live births in hospitals,39,39,42,077,"(40.6146479416, -75.6009948118)",POINT (-75.6009948118 40.6146479416)
County,Northampton,All,<1 month,2017,2017 Annual,1/1/2017-12/31/2017,16.21,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",47,,Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life),2900,,Live births in hospitals,48,48,42,095,"(40.754595404, -75.3126372576)",POINT (-75.3126372576 40.754595404)
