Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Rate,Percent of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Percent,Number of Women with a Delivery and OUD Diagnosis Receiving MAT,Number of Women with a Delivery and OUD Diagnosis Receiving MAT notes,Number of Women with a Delivery and OUD Receiving MAT Description,Number of Women with a Delivery and OUD Diagnosis,Number of Women with a Delivery and OUD Diagnosis notes,Number of Women with a Delivery and OUD Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Column
County,McKean County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,42,42,42,083,47,"(41.810370736, -78.5712201998)"
County,Lancaster County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,13,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,36,36,42,071,23,"(40.0459079619, -76.2513876838)"
County,Armstrong County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,3,03,42,005,41,"(40.8150952555, -79.4731689893)"
County,Delaware County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,448.28,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,44.83,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,13,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,29,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,23,23,42,045,28,"(39.9165786652, -75.4062771212)"
County,Erie County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,14,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,25,25,42,049,30,"(41.9941378702, -80.0407591036)"
County,Warren County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,62,62,42,123,51,"(41.8167523652, -79.278581578)"
County,Cumberland County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,583.33,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,58.33,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,21,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,36,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,21,21,42,041,17,"(40.167598388, -77.268662705)"
County,Elk County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,24,24,42,047,29,"(41.4281941606, -78.6494771322)"
County,Lancaster County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,21,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,36,36,42,071,23,"(40.0459079619, -76.2513876838)"
State,Commonwealth,Female,40 to 44 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Mercer County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,404.76,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,40.48,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,17,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,42,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,43,43,42,085,54,"(41.302377765, -80.2600941079)"
County,Lehigh County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,39,39,42,077,26,"(40.6146479416, -75.6009948118)"
County,Snyder County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,55,55,42,109,65,"(40.7711373692, -77.0725596804)"
County,Erie County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,480,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,48,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,12,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,25,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,25,25,42,049,30,"(41.9941378702, -80.0407591036)"
County,Clearfield County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,17,17,42,033,8,"(41.0004290024, -78.4755834299)"
County,Wayne County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,64,64,42,127,53,"(41.6496980525, -75.3051535022)"
County,Somerset County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,56,56,42,111,66,"(39.9714629901, -79.0310020611)"
County,Bradford County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,8,08,42,015,34,"(41.7911781401, -76.5182562384)"
County,Perry County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,50,50,42,099,61,"(40.4041531744, -77.2590738496)"
County,Washington County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,11,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,63,63,42,125,52,"(40.1910966345, -80.2518008276)"
County,Susquehanna County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,58,58,42,115,44,"(41.8205685982, -75.8025030296)"
County,Huntingdon County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,14,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,31,31,42,061,38,"(40.4161050032, -77.9827661036)"
County,Potter County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,53,53,42,105,63,"(41.7442064382, -77.8987922939)"
County,Lancaster County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,578.95,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,57.89,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,11,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,19,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,36,36,42,071,23,"(40.0459079619, -76.2513876838)"
County,Centre County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,14,14,42,027,5,"(40.9193135008, -77.8250011212)"
County,Carbon County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,13,13,42,025,4,"(40.9193670081, -75.7110703866)"
County,Fulton County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,29,29,42,057,36,"(39.9248751086, -78.1148504535)"
County,Franklin County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,28,28,42,055,33,"(39.9278619704, -77.7239884483)"
County,Bradford County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,8,08,42,015,34,"(41.7911781401, -76.5182562384)"
County,Greene County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,586.21,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,58.62,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,17,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,29,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,30,30,42,059,37,"(39.8548039342, -80.2294381655)"
County,Carbon County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,13,13,42,025,4,"(40.9193670081, -75.7110703866)"
County,Lackawanna County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,35,35,42,069,22,"(41.4391006428, -75.6121834524)"
County,Montgomery County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,521.74,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,52.17,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,12,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,23,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,46,46,42,091,57,"(40.209898739, -75.3725200072)"
County,Lycoming County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,592.59,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,59.26,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,16,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,27,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,41,41,42,081,15,"(41.3445979226, -77.069424568)"
County,Fulton County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,29,29,42,057,36,"(39.9248751086, -78.1148504535)"
County,Bucks County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,578.95,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,57.89,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,77,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,133,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,9,09,42,017,35,"(40.335011331, -75.1129124111)"
County,Huntingdon County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,31,31,42,061,38,"(40.4161050032, -77.9827661036)"
County,Philadelphia County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,634.15,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,63.41,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,52,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,82,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,51,51,42,101,13,"(40.0044435384, -75.140236002)"
County,Perry County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,50,50,42,099,61,"(40.4041531744, -77.2590738496)"
County,Indiana County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,32,32,42,063,19,"(40.6529549748, -79.0933349286)"
County,Lycoming County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,41,41,42,081,15,"(41.3445979226, -77.069424568)"
County,Lycoming County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,41,41,42,081,15,"(41.3445979226, -77.069424568)"
State,Commonwealth,Female,35 to 39 years,2017,2017 Q3,7/1/2017-9/30/2017,548.39,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,54.84,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,51,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,93,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Columbia County,Female,12 to 55 years,2016,2016 Q4,10/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,19,19,42,037,10,"(41.0491208559, -76.4100217975)"
County,Clinton County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,18,18,42,035,9,"(41.2328627374, -77.6428376046)"
County,Columbia County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,19,19,42,037,10,"(41.0491208559, -76.4100217975)"
County,Clarion County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,16,16,42,031,7,"(41.1927912877, -79.4248360769)"
County,Warren County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,62,62,42,123,51,"(41.8167523652, -79.278581578)"
County,Armstrong County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,3,03,42,005,41,"(40.8150952555, -79.4731689893)"
County,Philadelphia County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,604.4,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,60.44,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,55,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,91,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,51,51,42,101,13,"(40.0044435384, -75.140236002)"
County,Westmoreland County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,643.56,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,64.36,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,65,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,101,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,65,65,42,129,24,"(40.3103149985, -79.471341176)"
